'	' 1.0
jj$-tl	great's 1.0
jj+jj-nc	big-large 0.5 long-far 0.5
jj-hl	aboveground 0.0025252525252525255 abstract 0.0025252525252525255 acoustical 0.0025252525252525255 additional 0.005050505050505051 american 0.007575757575757576 anionic 0.0025252525252525255 aniseikonic 0.0025252525252525255 anti-slavery 0.0025252525252525255 antithyroid 0.0025252525252525255 atlantic 0.0025252525252525255 atmospheric 0.0025252525252525255 atomic 0.007575757575757576 bad 0.0025252525252525255 bankrupt 0.0025252525252525255 basic 0.012626262626262626 belated 0.0025252525252525255 big 0.007575757575757576 binomial 0.007575757575757576 biological 0.0025252525252525255 biophysical 0.0025252525252525255 blind 0.0025252525252525255 blunt 0.0025252525252525255 body-building 0.0025252525252525255 british 0.0025252525252525255 central 0.0025252525252525255 centrifugal 0.0025252525252525255 changeable 0.0025252525252525255 chinese 0.0025252525252525255 circular 0.0025252525252525255 civil 0.0025252525252525255 cohesive 0.0025252525252525255 collective 0.0025252525252525255 common 0.005050505050505051 communist 0.0025252525252525255 comparative 0.0025252525252525255 complete 0.005050505050505051 constant 0.005050505050505051 contemplative 0.0025252525252525255 contemporary 0.0025252525252525255 cooperative 0.0025252525252525255 corporate 0.0025252525252525255 crucial 0.0025252525252525255 cultural 0.0025252525252525255 cumulative 0.0025252525252525255 current 0.005050505050505051 cylindrical 0.005050505050505051 dead 0.005050505050505051 deadly 0.0025252525252525255 declarative 0.0025252525252525255 deep 0.0025252525252525255 dietary 0.0025252525252525255 direct 0.007575757575757576 discretionary 0.0025252525252525255 divergent 0.0025252525252525255 divine 0.0025252525252525255 dormant 0.0025252525252525255 double 0.0025252525252525255 downward 0.0025252525252525255 dry 0.0025252525252525255 due 0.007575757575757576 early 0.005050505050505051 economic 0.0025252525252525255 ecumenical 0.005050505050505051 educational 0.005050505050505051 effective 0.0025252525252525255 electric 0.005050505050505051 electrical 0.0025252525252525255 electronic 0.005050505050505051 emotional 0.0025252525252525255 entire 0.0025252525252525255 equal 0.0025252525252525255 essential 0.0025252525252525255 experimental 0.012626262626262626 exploratory 0.0025252525252525255 external 0.005050505050505051 fair 0.0025252525252525255 fair-priced 0.0025252525252525255 fed. 0.0025252525252525255 federal 0.007575757575757576 fiber-coupled 0.0025252525252525255 fibrous 0.0025252525252525255 final 0.0025252525252525255 financial 0.005050505050505051 fiscal 0.010101010101010102 flexible 0.0025252525252525255 flexural 0.0025252525252525255 foreign 0.0025252525252525255 formal 0.0025252525252525255 french 0.0025252525252525255 freshly-ground 0.0025252525252525255 future 0.0025252525252525255 general 0.017676767676767676 geographic 0.0025252525252525255 golden 0.0025252525252525255 good 0.007575757575757576 green 0.005050505050505051 gross 0.0025252525252525255 happy 0.0025252525252525255 hard 0.0025252525252525255 harmful 0.0025252525252525255 heart-measuring 0.0025252525252525255 heavy 0.0025252525252525255 helpful 0.0025252525252525255 high 0.0025252525252525255 holy 0.0025252525252525255 homemade 0.0025252525252525255 hopeful 0.0025252525252525255 hot 0.005050505050505051 hypothalamic 0.0025252525252525255 identical 0.0025252525252525255 immediate 0.0025252525252525255 impersonal 0.0025252525252525255 important 0.0025252525252525255 impressive 0.0025252525252525255 improper 0.0025252525252525255 indelible 0.0025252525252525255 independent 0.0025252525252525255 indirect 0.007575757575757576 individual 0.007575757575757576 industrial 0.010101010101010102 initial 0.0025252525252525255 inorganic 0.0025252525252525255 instant 0.0025252525252525255 instantaneous 0.0025252525252525255 inter-american 0.0025252525252525255 international 0.0025252525252525255 interstellar 0.0025252525252525255 jiffy 0.0025252525252525255 kind 0.0025252525252525255 legal 0.0025252525252525255 light 0.0025252525252525255 liquid 0.0025252525252525255 little 0.005050505050505051 local 0.005050505050505051 lousy 0.0025252525252525255 low 0.0025252525252525255 lower-middle 0.0025252525252525255 macromolecular 0.0025252525252525255 magnetic 0.0025252525252525255 magnificent 0.0025252525252525255 major 0.005050505050505051 maximum 0.0025252525252525255 medical 0.005050505050505051 melancholy 0.0025252525252525255 mental 0.0025252525252525255 microscopic 0.0025252525252525255 middle 0.0025252525252525255 middle-aged 0.0025252525252525255 military 0.007575757575757576 miraculous 0.0025252525252525255 modern 0.0025252525252525255 modest 0.005050505050505051 money-saving 0.0025252525252525255 multiple 0.0025252525252525255 musical 0.0025252525252525255 mysterious 0.0025252525252525255 narrative 0.0025252525252525255 narrow 0.0025252525252525255 natural 0.007575757575757576 necessary 0.010101010101010102 negative 0.0025252525252525255 neutral 0.005050505050505051 new 0.07828282828282829 non-newtonian 0.0025252525252525255 nonresident 0.0025252525252525255 nuclear 0.0025252525252525255 nutritious 0.0025252525252525255 open 0.005050505050505051 outdoor 0.0025252525252525255 over-all 0.005050505050505051 paraxial 0.0025252525252525255 personal 0.007575757575757576 photochemical 0.005050505050505051 physical 0.017676767676767676 physiological 0.0025252525252525255 pituitary 0.0025252525252525255 pleasant 0.0025252525252525255 plebian 0.0025252525252525255 plus-one 0.0025252525252525255 polymeric 0.0025252525252525255 polyunsaturated 0.0025252525252525255 postal 0.0025252525252525255 practical 0.0025252525252525255 pre-inaugural 0.0025252525252525255 pre-shaped 0.0025252525252525255 precise 0.0025252525252525255 prejudicial 0.0025252525252525255 pretend 0.0025252525252525255 primary 0.005050505050505051 prime 0.0025252525252525255 private 0.0025252525252525255 probable 0.0025252525252525255 public 0.0025252525252525255 purple 0.0025252525252525255 quiet 0.0025252525252525255 radial 0.0025252525252525255 random 0.0025252525252525255 rapid 0.0025252525252525255 recent 0.0025252525252525255 rectangular 0.0025252525252525255 religious 0.0025252525252525255 remarkable 0.0025252525252525255 resourceful 0.0025252525252525255 responsible 0.0025252525252525255 restless 0.0025252525252525255 restorative 0.005050505050505051 right 0.0025252525252525255 rotary 0.0025252525252525255 round 0.0025252525252525255 rude 0.0025252525252525255 scenic 0.0025252525252525255 scientific 0.0025252525252525255 senior 0.0025252525252525255 separate 0.0025252525252525255 serological 0.0025252525252525255 short 0.007575757575757576 similar 0.0025252525252525255 simple 0.005050505050505051 simultaneous 0.0025252525252525255 skilled 0.0025252525252525255 slight 0.0025252525252525255 slow 0.0025252525252525255 small 0.010101010101010102 social 0.007575757575757576 socioeconomic 0.0025252525252525255 solid 0.0025252525252525255 sound 0.0025252525252525255 spanish 0.0025252525252525255 special 0.015151515151515152 specific 0.0025252525252525255 spiritual 0.005050505050505051 standard 0.0025252525252525255 strategic 0.0025252525252525255 suitable 0.0025252525252525255 surprise 0.0025252525252525255 sweet-sour 0.0025252525252525255 synthetic 0.0025252525252525255 systemic 0.0025252525252525255 take-up 0.0025252525252525255 tax-free 0.0025252525252525255 technical 0.0025252525252525255 ten-gallon 0.0025252525252525255 tensile 0.0025252525252525255 theoretical 0.005050505050505051 thermal 0.005050505050505051 three-part 0.0025252525252525255 thyroid-stimulating 0.005050505050505051 total 0.005050505050505051 trans-illuminated 0.0025252525252525255 transitional 0.0025252525252525255 two-class 0.0025252525252525255 ultraviolet 0.0025252525252525255 underground 0.0025252525252525255 unnoticed 0.0025252525252525255 unpaid 0.0025252525252525255 viscoelastic 0.0025252525252525255 vocational 0.0025252525252525255 w. 0.0025252525252525255 weary 0.0025252525252525255 whole 0.0025252525252525255 wholesome 0.0025252525252525255 wide 0.005050505050505051 worth 0.0025252525252525255 worth-while 0.0025252525252525255 wrong 0.0025252525252525255
jj-nc	afraid 0.024390243902439025 approximate 0.024390243902439025 binomial 0.024390243902439025 busy 0.024390243902439025 chinese 0.024390243902439025 criminal 0.024390243902439025 deliberate 0.024390243902439025 dull 0.024390243902439025 false 0.024390243902439025 friendly 0.04878048780487805 frivolous 0.024390243902439025 funny 0.024390243902439025 gay 0.04878048780487805 incredible 0.04878048780487805 japanese 0.04878048780487805 poor 0.024390243902439025 pretty 0.04878048780487805 reactionary 0.024390243902439025 real 0.04878048780487805 saline 0.024390243902439025 serious 0.04878048780487805 solemn 0.024390243902439025 sorry 0.024390243902439025 sweet 0.04878048780487805 tough 0.024390243902439025 true 0.024390243902439025 using 0.04878048780487805 violent 0.024390243902439025 welcome 0.024390243902439025 wrong 0.024390243902439025 young 0.04878048780487805
jj-tl	a-1 0.00024348672997321646 abstract 0.0004869734599464329 active 0.00024348672997321646 administrative 0.0007304601899196494 advanced 0.0004869734599464329 advisory 0.0034088142196250304 african 0.00024348672997321646 agreeable 0.0007304601899196494 agricultural 0.0007304601899196494 algerian 0.0007304601899196494 all-star 0.00024348672997321646 almighty 0.0004869734599464329 alone 0.00024348672997321646 amen 0.0017044071098125152 american 0.02751400048697346 analytical 0.0009739469198928658 ancient 0.0014609203798392988 anglican 0.0004869734599464329 anglo-saxon 0.00024348672997321646 annual 0.0007304601899196494 apocalyptic 0.0004869734599464329 arabian 0.00024348672997321646 arabian-american 0.00024348672997321646 arctic 0.00024348672997321646 ashmolean 0.00024348672997321646 asian 0.00024348672997321646 assistant 0.002191380569758948 athletic 0.0012174336498660824 atlantic 0.003165327489651814 atomic 0.0012174336498660824 automatic 0.00024348672997321646 available 0.0004869734599464329 average 0.00024348672997321646 back 0.0004869734599464329 bake 0.00024348672997321646 ballistic 0.0004869734599464329 baltic 0.00024348672997321646 baptist 0.00024348672997321646 baroque 0.0004869734599464329 barre-montpelier 0.00024348672997321646 barren 0.00024348672997321646 basic 0.00024348672997321646 beat 0.00024348672997321646 beautiful 0.0007304601899196494 belgian 0.00024348672997321646 big 0.009009009009009009 bio-dynamic 0.00024348672997321646 black 0.0038957876795714633 bleak 0.00024348672997321646 blue 0.010226442658875092 bodily 0.00024348672997321646 bold 0.00024348672997321646 brave 0.0007304601899196494 brevet 0.00024348672997321646 brief 0.00024348672997321646 bright 0.0007304601899196494 british 0.0038957876795714633 broad 0.00024348672997321646 brown 0.0009739469198928658 buddhist 0.0007304601899196494 budgetary 0.00024348672997321646 calvinist 0.00024348672997321646 canadian 0.0007304601899196494 cardiovasculatory 0.00024348672997321646 careless 0.00024348672997321646 catholic 0.002191380569758948 central 0.013635256878500122 cerebral 0.00024348672997321646 ceremonial 0.00024348672997321646 chemical 0.0004869734599464329 chinese 0.00024348672997321646 choral 0.00024348672997321646 christian 0.0041392744095446795 civic 0.0009739469198928658 civil 0.011200389578767957 civilian 0.00024348672997321646 classical 0.0012174336498660824 clever 0.00024348672997321646 clinico-pathologic 0.0007304601899196494 co-operative 0.00024348672997321646 coastal 0.00024348672997321646 cold 0.0019478938397857316 collegiate 0.00024348672997321646 colonial 0.0017044071098125152 common 0.0019478938397857316 communist 0.0004869734599464329 confederate 0.0029218407596785976 confucian 0.0004869734599464329 congolese 0.0007304601899196494 congregational 0.0017044071098125152 congressional 0.0019478938397857316 continental 0.003652300949598247 cooperative 0.0004869734599464329 corinthian 0.00024348672997321646 correct 0.00024348672997321646 crazy 0.0004869734599464329 crimean 0.00024348672997321646 criminal 0.0009739469198928658 critical 0.00024348672997321646 crystallographic 0.00024348672997321646 cubist 0.0012174336498660824 cultural 0.0012174336498660824 current 0.00024348672997321646 custom 0.0007304601899196494 daily 0.0056001947893839785 danish 0.00024348672997321646 dark 0.0024348672997321647 darkling 0.00024348672997321646 dauntless 0.00024348672997321646 dead 0.00024348672997321646 deaf 0.00024348672997321646 death's-head 0.0004869734599464329 deep 0.00024348672997321646 deluxe 0.00024348672997321646 democratic 0.01582663744825907 deputy 0.0009739469198928658 descriptive 0.00024348672997321646 dietetic 0.00024348672997321646 direct 0.00024348672997321646 disciplinary 0.00024348672997321646 distinguished 0.00024348672997321646 distributive 0.00024348672997321646 divine 0.0009739469198928658 domestic 0.0007304601899196494 double 0.00024348672997321646 doubtful 0.00024348672997321646 drawing 0.00024348672997321646 due 0.00024348672997321646 dutch 0.0014609203798392988 e. 0.00024348672997321646 early 0.002678354029705381 east 0.023131239347455562 east-west 0.0009739469198928658 eastern 0.005113221329437546 ecclesiastical 0.00024348672997321646 economic 0.004869734599464329 ecumenical 0.00024348672997321646 educational 0.0007304601899196494 electoral 0.0004869734599464329 electric 0.0017044071098125152 electrical 0.0012174336498660824 electronic 0.0007304601899196494 elegant 0.00024348672997321646 elementary 0.0004869734599464329 emeritus 0.00024348672997321646 english 0.0019478938397857316 epidemiological 0.00024348672997321646 episcopal 0.0012174336498660824 eternal 0.0007304601899196494 european 0.002191380569758948 evergreen 0.00024348672997321646 ex-national 0.00024348672997321646 executive 0.0012174336498660824 export-import 0.0034088142196250304 external 0.00024348672997321646 facetious 0.00024348672997321646 fair 0.0014609203798392988 far 0.0014609203798392988 fearless 0.00024348672997321646 federal 0.03092281470659849 final 0.0007304601899196494 financial 0.00024348672997321646 fine 0.0019478938397857316 fiscal 0.00024348672997321646 flat 0.00024348672997321646 foggy 0.0004869734599464329 foreign 0.004382761139517896 forensic 0.0014609203798392988 free 0.0034088142196250304 french 0.0038957876795714633 fresh 0.0007304601899196494 full 0.0004869734599464329 fundamental 0.00024348672997321646 furious 0.0007304601899196494 future 0.0012174336498660824 gala 0.00024348672997321646 gen. 0.0009739469198928658 general 0.01850499147796445 geodetic 0.00024348672997321646 geographic 0.00024348672997321646 geological 0.0014609203798392988 geometric 0.0038957876795714633 german 0.0007304601899196494 gold 0.0007304601899196494 golden 0.0041392744095446795 good 0.003165327489651814 gothic 0.0007304601899196494 grand 0.003652300949598247 graphic 0.00024348672997321646 grassy 0.00024348672997321646 gray 0.002191380569758948 great 0.012174336498660824 greek 0.0004869734599464329 green 0.0019478938397857316 gross 0.002678354029705381 hanoverian 0.0004869734599464329 happy 0.0007304601899196494 hard-hearted 0.00024348672997321646 hawaiian 0.0007304601899196494 heavenly 0.0004869734599464329 heavy 0.00024348672997321646 hebrew 0.0004869734599464329 heroic 0.00024348672997321646 hideous 0.00024348672997321646 high 0.0070611151692232775 historical 0.00024348672997321646 holy 0.006817628439250061 hon'ble 0.0004869734599464329 honorable 0.0007304601899196494 hot 0.0012174336498660824 human 0.0004869734599464329 hungarian 0.0004869734599464329 hydro-electric 0.00024348672997321646 ideal 0.00024348672997321646 imaginary 0.00024348672997321646 immortal 0.00024348672997321646 imperial 0.0017044071098125152 incorrect 0.00024348672997321646 independent 0.0004869734599464329 indeterminate 0.00024348672997321646 indian 0.0012174336498660824 indigo 0.00024348672997321646 industrial 0.006330654979303628 inland 0.00024348672997321646 inner 0.0004869734599464329 input/output 0.0009739469198928658 instant 0.00024348672997321646 inter-american 0.00024348672997321646 intercollegiate 0.00024348672997321646 intergroup 0.00024348672997321646 intermediate 0.0004869734599464329 internal 0.0029218407596785976 international 0.008278548819089359 interpersonal 0.00024348672997321646 interstate 0.002191380569758948 invisible 0.00024348672997321646 ionic 0.0004869734599464329 irish 0.0019478938397857316 iron 0.0004869734599464329 islamic 0.00024348672997321646 israeli 0.0007304601899196494 italian 0.0009739469198928658 italo-american 0.00024348672997321646 jacobite 0.00024348672997321646 japanese 0.00024348672997321646 jewish 0.0019478938397857316 joint 0.0017044071098125152 jolly 0.00024348672997321646 judicial 0.00024348672997321646 junior 0.009252495738982226 juvenile 0.0007304601899196494 know-nothing 0.00024348672997321646 korean 0.0014609203798392988 lascivious 0.00024348672997321646 late 0.0004869734599464329 lateral 0.00024348672997321646 latin 0.003652300949598247 lay 0.0004869734599464329 legislative 0.00024348672997321646 li'l 0.00024348672997321646 liberal 0.0009739469198928658 light 0.00024348672997321646 liliputian 0.00024348672997321646 literary 0.00024348672997321646 little 0.007304601899196494 lobar 0.00024348672997321646 local 0.0004869734599464329 long 0.004626247869491113 loud 0.00024348672997321646 lousie 0.00024348672997321646 low 0.0007304601899196494 lucky 0.00024348672997321646 lutheran 0.0004869734599464329 macropathological 0.00024348672997321646 mad 0.0007304601899196494 madding 0.00024348672997321646 majestic 0.00024348672997321646 major 0.00024348672997321646 maltese 0.0004869734599464329 maritime 0.0007304601899196494 marvelous 0.00024348672997321646 masonic 0.0007304601899196494 mathematical 0.00024348672997321646 mayoral 0.00024348672997321646 meadow 0.00024348672997321646 med-chemical 0.00024348672997321646 medical 0.009739469198928659 medieval 0.00024348672997321646 memorial 0.0038957876795714633 mental 0.00024348672997321646 merry 0.0004869734599464329 methodist 0.0014609203798392988 metropolian 0.00024348672997321646 metropolitan 0.002678354029705381 mexican 0.0004869734599464329 middle 0.005843681519357195 middle-south 0.0004869734599464329 midwestern 0.0004869734599464329 mighty 0.0004869734599464329 migrant 0.00024348672997321646 military 0.0024348672997321647 milky 0.0004869734599464329 minor 0.002191380569758948 modern 0.0014609203798392988 modular 0.00024348672997321646 moral 0.0004869734599464329 multiphastic 0.00024348672997321646 muncipal 0.00024348672997321646 municipal 0.00024348672997321646 muscular 0.00024348672997321646 musical 0.0009739469198928658 muslim 0.00024348672997321646 mutual 0.0012174336498660824 n. 0.0004869734599464329 nameless 0.00024348672997321646 narrow 0.00024348672997321646 national 0.03725346968590212 nationalist 0.00024348672997321646 nationalistic 0.00024348672997321646 natural 0.00024348672997321646 naval 0.0029218407596785976 nazarene 0.00024348672997321646 near 0.00024348672997321646 needy 0.00024348672997321646 neutral 0.0012174336498660824 new 0.1329437545653762 non-dissonant 0.00024348672997321646 north 0.023618212807401995 northeast 0.0007304601899196494 northern 0.0056001947893839785 northwest 0.0009739469198928658 northwestern 0.0004869734599464329 nuclear 0.00024348672997321646 nude 0.00024348672997321646 occidental 0.00024348672997321646 occupational 0.00024348672997321646 oedipal 0.00024348672997321646 offensive 0.00024348672997321646 ol' 0.00024348672997321646 old 0.0192354516678841 ole 0.0007304601899196494 olympic 0.0007304601899196494 on-to-spokane 0.00024348672997321646 one-leg 0.00024348672997321646 open 0.0004869734599464329 ophthalmic 0.0004869734599464329 oral 0.0004869734599464329 orchestral 0.00024348672997321646 organic 0.00024348672997321646 oriental 0.003165327489651814 original 0.00024348672997321646 orthodox 0.0019478938397857316 orthopedic 0.0004869734599464329 ottoman 0.0004869734599464329 outdoor 0.0007304601899196494 outer 0.0009739469198928658 outstanding 0.00024348672997321646 pacific 0.005843681519357195 pan 0.0004869734599464329 partisan 0.0007304601899196494 peaceable 0.00024348672997321646 peaceful 0.00024348672997321646 peerless 0.0007304601899196494 percussive 0.0004869734599464329 personal 0.00024348672997321646 petty 0.0004869734599464329 pharmical 0.00024348672997321646 philippine 0.00024348672997321646 philosophical 0.0004869734599464329 physical 0.0007304601899196494 physiological 0.00024348672997321646 pincian 0.0004869734599464329 pink 0.00024348672997321646 placid 0.0004869734599464329 plain 0.00024348672997321646 plenary 0.0004869734599464329 polish 0.0007304601899196494 political 0.00024348672997321646 polytechnic 0.00024348672997321646 poor 0.0019478938397857316 popish 0.00024348672997321646 popular 0.0004869734599464329 positive 0.00024348672997321646 post-graduate 0.00024348672997321646 postal 0.0004869734599464329 pre-legislative 0.00024348672997321646 precious 0.0017044071098125152 presidential 0.005356708059410762 prime 0.0012174336498660824 private 0.00024348672997321646 privy 0.0007304601899196494 professional 0.0007304601899196494 prompt 0.0007304601899196494 protestant 0.0012174336498660824 provincial 0.00024348672997321646 provisional 0.0004869734599464329 prudent 0.00024348672997321646 psychoanalytic 0.00024348672997321646 public 0.007304601899196494 publick 0.0004869734599464329 pure 0.00024348672997321646 puritan 0.0009739469198928658 purple 0.00024348672997321646 quiet 0.00024348672997321646 quizzical 0.00024348672997321646 random 0.00024348672997321646 reactionary 0.00024348672997321646 real 0.0012174336498660824 red 0.011930849768687607 redundant 0.00024348672997321646 regional 0.0009739469198928658 regular 0.0009739469198928658 religious 0.0007304601899196494 representative 0.00024348672997321646 republican 0.0009739469198928658 resident 0.00024348672997321646 residential 0.0004869734599464329 respiratory 0.00024348672997321646 retail 0.00024348672997321646 revolutionary 0.00024348672997321646 rican 0.00024348672997321646 right 0.00024348672997321646 rim-fire 0.00024348672997321646 ripe 0.0007304601899196494 rival 0.00024348672997321646 roman 0.0041392744095446795 romantic 0.00024348672997321646 rosy 0.00024348672997321646 rotary 0.0007304601899196494 round 0.0007304601899196494 royal 0.004382761139517896 rural 0.0017044071098125152 russian 0.0004869734599464329 rusty 0.00024348672997321646 s. 0.0004869734599464329 sacred 0.0009739469198928658 sainted 0.00024348672997321646 sane 0.0007304601899196494 sanitary 0.0007304601899196494 scarlet 0.0004869734599464329 scientific 0.0009739469198928658 scotch 0.0007304601899196494 scotian 0.00024348672997321646 scottish 0.0012174336498660824 scriptural 0.00024348672997321646 senior 0.0004869734599464329 serpentine 0.00024348672997321646 sexual 0.00024348672997321646 short 0.0004869734599464329 shy 0.00024348672997321646 significant 0.00024348672997321646 silver 0.00024348672997321646 sistine 0.00024348672997321646 skeletal 0.002191380569758948 small 0.0029218407596785976 smoky 0.0007304601899196494 social 0.003652300949598247 socialist 0.0029218407596785976 solar 0.0004869734599464329 sour 0.00024348672997321646 south 0.018018018018018018 south-east 0.00024348672997321646 southeast 0.0038957876795714633 southeastern 0.00024348672997321646 southern 0.026053080107134162 southwest 0.0012174336498660824 southwestern 0.00024348672997321646 spangled 0.00024348672997321646 spanish 0.002191380569758948 spanish-american 0.0004869734599464329 special 0.002191380569758948 speedy 0.00024348672997321646 standard 0.0029218407596785976 star-spangled 0.00024348672997321646 state-local 0.00024348672997321646 statistical 0.00024348672997321646 stormy 0.00024348672997321646 straight-arm 0.00024348672997321646 strategic 0.0007304601899196494 strong 0.00024348672997321646 structural 0.0007304601899196494 stuck-up 0.0004869734599464329 substantive 0.00024348672997321646 successful 0.00024348672997321646 sunken 0.00024348672997321646 super 0.00024348672997321646 superior 0.003652300949598247 superlative 0.00024348672997321646 supreme 0.008035062089116142 sure 0.00024348672997321646 sweet 0.00024348672997321646 synthetic 0.00024348672997321646 taxable 0.00024348672997321646 technical 0.0004869734599464329 temporary 0.00024348672997321646 terrible 0.00024348672997321646 territorial 0.0004869734599464329 testicular 0.00024348672997321646 theological 0.0007304601899196494 tiny 0.00024348672997321646 titanic 0.00024348672997321646 torrid 0.00024348672997321646 transcendental 0.00024348672997321646 tri-state 0.0029218407596785976 true 0.00024348672997321646 turkish 0.0009739469198928658 two-stem 0.00024348672997321646 ukrainian 0.00024348672997321646 un-american 0.0004869734599464329 under 0.0007304601899196494 underwater 0.0004869734599464329 unitarian 0.00024348672997321646 universal 0.0012174336498660824 universal-international 0.00024348672997321646 unpaid 0.00024348672997321646 unsinkable 0.0009739469198928658 upper 0.0012174336498660824 urban 0.00024348672997321646 utopian 0.00024348672997321646 valuable 0.00024348672997321646 various 0.00024348672997321646 venerable 0.00024348672997321646 venetian 0.00024348672997321646 verbal 0.00024348672997321646 veterinary 0.00024348672997321646 vice 0.003652300949598247 virgin 0.0004869734599464329 vocational 0.0012174336498660824 w. 0.00024348672997321646 waist-high 0.00024348672997321646 weary 0.00024348672997321646 weird 0.00024348672997321646 well 0.00024348672997321646 west 0.022644265887509132 western 0.02483564645726808 western-style 0.00024348672997321646 white 0.01996591185780375 wicked 0.00024348672997321646 wild 0.0007304601899196494 worthy 0.00024348672997321646 yankee 0.0007304601899196494 yearly 0.00024348672997321646 yellow 0.0004869734599464329 young 0.0024348672997321647 yugoslav 0.0017044071098125152
jj-tl-hl	bright 0.038461538461538464 confederate 0.038461538461538464 dark 0.038461538461538464 east 0.07692307692307693 federal 0.11538461538461539 free 0.038461538461538464 hon. 0.15384615384615385 international 0.038461538461538464 maritime 0.038461538461538464 medical 0.11538461538461539 national 0.07692307692307693 new 0.07692307692307693 purple 0.038461538461538464 red 0.038461538461538464 rural 0.038461538461538464 southeast 0.038461538461538464
jj-tl-nc	utopian 1.0
jjr	abler 0.0010214504596527069 baser 0.0005107252298263534 better 0.11899897854954035 better-remembered 0.0005107252298263534 bigger 0.017364657814096015 blunter 0.0005107252298263534 bolder 0.0010214504596527069 braver 0.0010214504596527069 briefer 0.0005107252298263534 brighter 0.0040858018386108275 brisker 0.0005107252298263534 broader 0.009703779366700716 busier 0.0005107252298263534 calmer 0.0005107252298263534 cheaper 0.005107252298263534 chillier 0.0005107252298263534 cleaner 0.0020429009193054137 clearer 0.007150153217568948 closer 0.009193054136874362 cockier 0.0005107252298263534 colder 0.002553626149131767 commoner 0.0005107252298263534 cooler 0.003575076608784474 costlier 0.0005107252298263534 cozier 0.0005107252298263534 darker 0.0010214504596527069 dearer 0.0005107252298263534 deeper 0.01481103166496425 drier 0.0010214504596527069 drunker 0.0010214504596527069 duller 0.0010214504596527069 earlier 0.03881511746680286 easier 0.02247191011235955 elder 0.0040858018386108275 emptier 0.0010214504596527069 fancier 0.0005107252298263534 faster 0.002553626149131767 fatter 0.0015321756894790602 fewer 0.0015321756894790602 finer 0.0010214504596527069 firmer 0.0030643513789581204 fonder 0.0005107252298263534 franker 0.0005107252298263534 freer 0.002553626149131767 friendlier 0.0005107252298263534 frothier 0.0005107252298263534 fuller 0.002553626149131767 funnier 0.0005107252298263534 furiouser 0.0010214504596527069 further 0.03779366700715015 gentler 0.0015321756894790602 grander 0.0005107252298263534 graver 0.0010214504596527069 grayer 0.0005107252298263534 greater 0.09193054136874361 grimmer 0.0005107252298263534 hairier 0.0005107252298263534 handier 0.0005107252298263534 handsomer 0.0010214504596527069 happier 0.0056179775280898875 harder 0.004596527068437181 harsher 0.0005107252298263534 healthier 0.0005107252298263534 heavier 0.007150153217568948 higher 0.07150153217568948 higher- 0.0005107252298263534 higher-priced 0.0005107252298263534 hotter 0.003575076608784474 hungrier 0.0005107252298263534 kinder 0.0005107252298263534 larger 0.06230847803881512 later 0.028089887640449437 lesser 0.009193054136874362 lighter 0.0040858018386108275 livelier 0.0010214504596527069 lonelier 0.0005107252298263534 longer 0.035240040858018386 longer-lived 0.0010214504596527069 louder 0.0056179775280898875 lower 0.054647599591419814 lower-cut 0.0005107252298263534 lower-paid 0.0005107252298263534 lower-priced 0.0005107252298263534 luckier 0.0005107252298263534 milder 0.0015321756894790602 narrower 0.003575076608784474 nastier 0.0005107252298263534 naughtier 0.0005107252298263534 nearer 0.0020429009193054137 newer 0.010214504596527068 nicer 0.0010214504596527069 nimbler 0.0005107252298263534 nobler 0.0005107252298263534 noisier 0.0005107252298263534 older 0.04698672114402452 ornraier 0.0005107252298263534 poorer 0.0015321756894790602 prettier 0.0020429009193054137 prouder 0.0005107252298263534 queerer 0.0005107252298263534 quicker 0.002553626149131767 quieter 0.0020429009193054137 rarer 0.0005107252298263534 realer 0.0005107252298263534 redder 0.0015321756894790602 remoter 0.0005107252298263534 richer 0.002553626149131767 rougher 0.0005107252298263534 sadder 0.0005107252298263534 safer 0.002553626149131767 saner 0.0005107252298263534 shallower 0.0005107252298263534 sharper 0.0015321756894790602 shorter 0.009193054136874362 sicker 0.0010214504596527069 simpler 0.009193054136874362 slenderer 0.0005107252298263534 slighter 0.0005107252298263534 slimmer 0.0005107252298263534 slower 0.003575076608784474 smaller 0.03932584269662921 smarter 0.0010214504596527069 smoother 0.0015321756894790602 softer 0.002553626149131767 sounder 0.0020429009193054137 steadier 0.0015321756894790602 steeper 0.0010214504596527069 stiffer 0.0005107252298263534 stronger 0.018896833503575076 subtler 0.0005107252298263534 sweeter 0.0010214504596527069 taller 0.003575076608784474 thicker 0.002553626149131767 thinner 0.0030643513789581204 tougher 0.004596527068437181 truer 0.0010214504596527069 uglier 0.0010214504596527069 upper 0.005107252298263534 vaster 0.0005107252298263534 warmer 0.0020429009193054137 weaker 0.0040858018386108275 wider 0.008171603677221655 wiser 0.003575076608784474 worse 0.02502553626149132 wus 0.0005107252298263534 year-earlier 0.0010214504596527069 younger 0.02093973442288049 younguh 0.0005107252298263534
jjr+cs	lighter'n 1.0
jjr-hl	better 0.17647058823529413 clearer 0.058823529411764705 easier 0.058823529411764705 greater 0.11764705882352941 healthier 0.058823529411764705 higher 0.17647058823529413 larger 0.058823529411764705 lighter 0.058823529411764705 lower 0.058823529411764705 older 0.058823529411764705 wider 0.058823529411764705 younger 0.058823529411764705
jjr-nc	calmer 0.2 friendlier 0.2 smaller 0.2 stranger 0.4
